Semester,CGPA,Attendance,Internal_Marks,Assignment_Score,Quiz_Score,Study_Hours,Backlogs,Skill_Level,Performance,Risk_Level
8,6.92,90.5,92.7,65.1,93.7,3.9,1,2,91.44,Low
1,7.59,82.8,49.6,99.0,56.4,6.0,4,5,83.92,Low
4,6.34,77.5,78.0,80.1,97.5,5.1,0,4,91.08,Low
4,6.81,54.3,51.1,78.1,36.3,5.5,0,4,90.6,Low
1,8.24,70.4,69.5,50.0,78.1,1.1,3,5,85.61,Low
2,4.68,68.6,45.3,92.9,64.6,7.6,1,5,77.91,Low
1,5.76,63.0,64.8,65.6,57.1,6.8,2,5,75.44,Low
8,8.07,86.2,81.6,49.7,74.3,6.5,4,3,88.16,Low
6,8.98,74.8,59.1,40.8,79.3,6.7,1,4,100.0,Low
4,7.06,54.1,76.6,73.6,30.3,7.5,4,4,75.91,Low
5,7.16,61.0,83.7,71.6,41.7,4.6,0,3,88.76,Low
5,5.04,84.2,91.0,83.2,79.9,2.0,3,5,72.76,Low
8,6.74,53.8,52.9,93.4,76.6,5.1,3,2,78.48,Low
3,7.16,92.6,62.0,44.8,97.6,6.1,2,5,90.53,Low
7,5.71,74.8,48.4,83.9,83.3,6.0,3,5,77.62,Low
1,5.85,74.0,94.6,51.2,96.6,4.4,0,3,89.0,Low
1,6.39,79.6,91.0,91.5,79.2,1.0,2,4,85.11,Low
3,4.6,91.2,69.7,89.1,50.9,3.3,1,5,69.77,Medium
3,6.11,67.4,86.3,72.4,37.4,7.4,3,4,78.68,Low
8,5.56,83.9,68.7,82.6,84.7,4.9,2,1,80.28,Low
8,6.14,78.3,74.3,58.9,75.1,4.5,0,4,88.79,Low
3,5.1,63.4,44.9,68.3,33.4,2.5,4,2,48.58,High
4,8.95,93.9,81.5,89.3,55.2,3.3,4,2,94.72,Low
8,7.47,89.9,47.0,67.6,97.0,7.2,0,5,94.66,Low
6,7.9,82.9,85.4,61.5,65.0,5.5,0,4,100.0,Low
8,8.45,92.5,83.0,69.7,60.3,6.4,4,5,100.0,Low
1,6.99,93.4,79.0,89.7,62.0,3.9,2,3,85.3,Low
8,4.93,85.4,42.0,60.1,44.6,5.2,4,2,55.12,Medium
4,7.19,91.9,56.7,50.4,55.8,2.4,0,5,89.54,Low
3,7.43,84.9,54.5,82.7,55.9,5.8,3,3,80.61,Low
1,8.23,84.0,59.8,89.6,33.7,3.7,1,5,92.96,Low
8,6.66,80.9,44.8,46.0,83.7,3.8,3,4,76.89,Low
4,5.14,87.6,91.5,54.4,59.2,5.4,3,4,71.02,Low
6,5.92,57.9,70.5,48.5,87.6,7.5,0,4,85.96,Low
8,6.32,94.0,56.8,60.9,89.5,1.0,4,4,72.93,Low
4,7.73,93.6,61.8,67.0,44.8,6.7,2,1,90.23,Low
6,7.35,51.5,64.6,84.9,76.0,2.7,3,3,81.23,Low
3,6.28,91.3,73.0,79.1,63.1,3.8,4,3,73.94,Low
8,9.43,56.4,68.4,77.3,91.6,0.7,2,4,98.96,Low
6,7.53,66.8,90.6,61.1,45.1,2.8,3,1,79.43,Low
1,5.69,87.2,67.3,90.5,77.4,4.3,2,4,81.26,Low
3,5.01,58.0,94.6,68.3,72.5,0.9,4,1,58.0,Medium
1,5.26,90.9,86.8,98.7,50.7,4.2,1,4,80.62,Low
5,5.73,91.6,51.5,78.0,39.6,7.5,4,2,67.04,Medium
2,5.3,75.4,91.2,47.6,75.6,1.3,0,2,74.48,Low
8,5.43,50.3,46.4,80.6,81.7,6.2,2,5,72.1,Low
6,5.93,64.4,85.0,59.5,52.1,3.6,1,4,74.92,Low
2,5.37,80.8,60.9,81.2,75.1,5.4,2,3,76.31,Low
2,8.98,99.1,88.3,44.2,57.7,2.5,2,5,99.59,Low
6,4.9,81.6,87.7,50.5,79.9,1.7,3,2,66.55,Medium
3,7.12,63.0,84.3,91.3,43.9,1.7,0,4,87.56,Low
8,6.55,81.7,83.5,53.6,92.3,1.0,2,5,82.86,Low
5,9.41,77.0,56.8,90.2,50.1,1.9,4,4,92.62,Low
1,5.06,89.0,44.5,56.8,55.7,5.5,4,2,61.83,Medium
4,6.49,55.3,62.2,78.6,34.1,7.1,3,5,75.73,Low
1,9.35,88.1,49.5,81.6,37.8,6.6,0,2,100.0,Low
4,8.83,77.1,78.2,70.8,66.1,5.6,0,1,100.0,Low
1,8.59,98.1,59.0,58.3,48.7,1.3,4,2,81.46,Low
6,5.79,67.1,93.7,52.8,88.5,2.7,1,4,74.22,Low
5,5.35,81.6,75.3,42.0,31.0,2.8,3,3,62.89,Medium
8,7.84,96.6,85.2,58.2,56.5,2.4,3,2,92.03,Low
4,9.15,55.1,47.3,79.2,53.6,4.4,4,3,86.45,Low
8,7.28,96.9,87.4,96.3,31.4,4.5,4,1,80.1,Low
8,7.36,84.4,90.8,92.3,38.7,3.2,1,5,94.6,Low
8,5.9,53.4,66.8,86.0,59.0,3.2,1,5,78.9,Low
7,8.35,65.0,73.3,87.3,64.5,6.7,0,3,100.0,Low
3,5.44,85.4,82.1,79.9,58.3,6.4,3,5,74.58,Low
1,6.12,53.4,49.6,55.6,67.2,2.8,3,2,67.29,Medium
8,6.63,79.1,67.6,94.4,71.7,7.4,4,3,84.94,Low
1,7.04,67.3,61.9,80.2,30.7,7.6,0,4,91.36,Low
8,5.71,81.0,48.1,73.6,62.5,3.0,3,2,67.41,Medium
4,5.07,52.3,60.2,46.7,97.4,3.2,0,2,74.05,Low
3,7.55,93.6,43.7,66.8,66.3,4.3,0,2,93.14,Low
3,5.94,98.7,41.4,67.6,77.4,7.6,4,4,72.13,Low
6,7.41,98.4,47.4,91.9,51.8,7.1,0,1,97.3,Low
7,5.27,87.5,93.0,72.8,84.2,1.3,1,5,79.05,Low
6,6.91,56.5,70.2,62.8,84.1,3.4,1,3,84.56,Low
6,7.16,87.9,93.1,98.6,66.5,4.7,2,1,91.65,Low
6,4.76,51.2,63.8,46.6,98.3,4.3,4,3,59.5,Medium
6,6.18,51.1,57.1,65.4,38.8,2.0,2,5,72.93,Low
6,5.17,66.2,67.8,42.5,31.2,6.9,1,4,71.45,Low
5,4.82,74.4,64.2,84.4,83.9,5.6,2,2,68.68,Medium
3,9.45,88.5,45.8,95.1,86.5,6.8,4,2,99.05,Low
6,6.11,84.2,75.2,56.8,38.4,6.9,4,4,74.88,Low
8,8.55,72.3,51.9,91.5,48.6,6.1,0,1,100.0,Low
3,5.77,63.7,74.1,57.5,31.2,3.8,3,1,66.25,Medium
3,7.91,99.9,75.8,94.6,50.5,5.1,0,3,99.34,Low
2,8.3,71.3,48.4,85.2,84.1,1.7,4,4,91.43,Low
5,7.48,72.6,43.4,88.3,66.3,5.6,1,1,88.78,Low
6,6.86,58.2,82.9,41.1,54.4,1.8,1,4,83.35,Low
1,6.56,89.7,65.3,97.8,56.0,5.7,0,5,93.16,Low
4,6.24,84.7,43.2,83.6,30.1,2.2,4,2,64.9,Medium
7,9.15,61.0,94.7,58.3,51.0,1.4,1,2,98.9,Low
8,8.65,54.1,43.2,89.8,75.3,1.7,4,2,85.15,Low
1,9.33,84.0,78.2,56.9,98.2,0.5,1,4,100.0,Low
5,5.12,82.7,94.1,92.4,89.3,5.9,4,4,79.86,Low
4,8.15,63.7,53.2,46.8,31.7,6.0,2,3,84.3,Low
5,9.19,97.5,47.8,82.2,92.9,4.4,4,2,93.64,Low
8,5.41,57.6,46.7,72.4,84.8,1.7,4,3,60.9,Medium
3,4.83,71.6,56.7,45.8,84.6,1.1,0,2,68.96,Medium
4,8.21,97.2,45.6,54.5,62.1,0.6,2,3,82.92,Low
3,7.37,71.0,78.1,40.7,57.9,1.7,3,3,80.01,Low
8,8.71,81.9,43.4,68.1,51.2,7.2,0,5,100.0,Low
1,5.2,69.9,68.0,58.1,34.6,2.3,3,3,57.56,Medium
8,8.48,63.7,94.8,75.9,46.0,3.2,1,4,95.43,Low
1,5.51,99.2,84.8,57.8,47.3,1.3,3,3,67.25,Medium
4,5.32,70.5,73.8,58.0,63.9,2.2,4,2,61.77,Medium
4,5.32,94.7,56.8,84.6,82.3,4.4,3,3,70.95,Low
6,8.57,61.5,74.3,42.9,63.2,5.1,0,1,100.0,Low
5,7.83,60.7,69.0,94.2,34.0,2.3,0,2,90.77,Low
6,7.12,51.6,63.4,91.1,97.0,0.9,3,1,76.79,Low
5,6.29,82.6,47.2,80.1,96.0,3.4,0,2,79.77,Low
6,8.89,68.4,88.8,75.6,85.0,2.3,0,4,100.0,Low
3,6.46,93.2,64.7,93.5,99.4,2.1,3,4,82.53,Low
4,8.58,73.7,50.7,51.1,68.1,7.7,2,4,90.11,Low
1,6.7,98.4,60.2,44.7,97.4,5.1,2,1,85.67,Low
5,6.38,59.3,62.8,54.4,35.3,4.7,1,5,77.56,Low
8,6.81,93.4,85.5,87.7,55.6,3.6,0,2,100.0,Low
5,6.01,88.8,80.3,42.1,45.8,3.7,3,4,79.26,Low
1,8.24,88.5,82.3,75.0,43.7,4.6,0,2,99.1,Low
6,7.01,92.2,40.6,99.7,39.9,5.7,4,1,75.57,Low
5,5.66,88.1,62.9,91.3,73.6,5.8,0,5,91.04,Low
7,9.0,81.3,66.5,71.3,84.7,1.8,0,1,100.0,Low
3,6.42,56.6,41.1,43.8,70.5,4.3,2,2,65.73,Medium
4,7.22,51.6,54.3,89.9,40.3,3.6,3,5,72.91,Low
1,9.03,96.0,81.8,75.9,86.8,7.0,0,5,100.0,Low
4,7.62,80.8,47.5,46.9,74.5,5.2,2,1,85.23,Low
